history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
SNDX;IMOEX2;22.06.2020;»ндекс ћосЅиржи (все сессии);IMOEX2 Ц значени€ индекса ћосЅиржи за весь торговый день, включа€ дополнительные сессии;2769,02;2763,74;2769,42;2760,12;2073281158,05;0;0;2;11790061752100;RUB;4257839328,870000;3;
SNDX;IMOEX2;23.06.2020;»ндекс ћосЅиржи (все сессии);IMOEX2 Ц значени€ индекса ћосЅиржи за весь торговый день, включа€ дополнительные сессии;2785,87;2790,29;2792,69;2782,38;3400478603,7;0;0;2;11861777591600;RUB;4257839328,870000;3;
SNDX;IMOEX2;25.06.2020;»ндекс ћосЅиржи (все сессии);IMOEX2 Ц значени€ индекса ћосЅиржи за весь торговый день, включа€ дополнительные сессии;2778,48;2763,39;2778,8;2760,75;3367155425,9;0;0;2;11830313851100;RUB;4257839328,870000;3;
SNDX;IMOEX2;26.06.2020;»ндекс ћосЅиржи (все сессии);IMOEX2 Ц значени€ индекса ћосЅиржи за весь торговый день, включа€ дополнительные сессии;2756,37;2759,77;2761,96;2753,41;2515258735,35;0;0;2;11736190159900;RUB;4257839328,870000;3;
SNDX;IMOEX2;29.06.2020;»ндекс ћосЅиржи (все сессии);IMOEX2 Ц значени€ индекса ћосЅиржи за весь торговый день, включа€ дополнительные сессии;2772,53;2768,14;2772,69;2761,72;2904342137,15;0;0;2;11804975407100;RUB;4257839328,870000;3;
SNDX;IMOEX2;30.06.2020;»ндекс ћосЅиржи (все сессии);IMOEX2 Ц значени€ индекса ћосЅиржи за весь торговый день, включа€ дополнительные сессии;2753,13;2746,53;2753,87;2743,04;2978175732,1;0;0;2;11722373080700;RUB;4257839328,870000;3;
SNDX;IMOEX2;02.07.2020;»ндекс ћосЅиржи (все сессии);IMOEX2 Ц значени€ индекса ћосЅиржи за весь торговый день, включа€ дополнительные сессии;2788,4;2787,48;2790,34;2785,3;2420204288,3;0;0;2;11872541102500;RUB;4257839328,870000;3;
SNDX;IMOEX2;03.07.2020;»ндекс ћосЅиржи (все сессии);IMOEX2 Ц значени€ индекса ћосЅиржи за весь торговый день, включа€ дополнительные сессии;2805,68;2802,93;2806,46;2801,66;1964437460,3;0;0;2;11946134375200;RUB;4257839328,870000;3;
SNDX;IMOEX2;06.07.2020;»ндекс ћосЅиржи (все сессии);IMOEX2 Ц значени€ индекса ћосЅиржи за весь торговый день, включа€ дополнительные сессии;2833,97;2830,53;2835,18;2825,02;4466538461,55;0;0;2;12066577315100;RUB;4257839328,870000;3;
SNDX;IMOEX2;07.07.2020;»ндекс ћосЅиржи (все сессии);IMOEX2 Ц значени€ индекса ћосЅиржи за весь торговый день, включа€ дополнительные сессии;2818,8;2824,47;2826,84;2817,82;2744273555,2;0;0;2;12001990207600;RUB;4257839328,870000;3;
SNDX;IMOEX2;08.07.2020;»ндекс ћосЅиржи (все сессии);IMOEX2 Ц значени€ индекса ћосЅиржи за весь торговый день, включа€ дополнительные сессии;2825,31;2815,21;2825,66;2813,99;2626086463,65;0;0;2;12029731474600;RUB;4257839328,870000;3;
SNDX;IMOEX2;09.07.2020;»ндекс ћосЅиржи (все сессии);IMOEX2 Ц значени€ индекса ћосЅиржи за весь торговый день, включа€ дополнительные сессии;2786,67;2781,98;2788,41;2781,13;2692092277,65;0;0;2;11865189636200;RUB;4257839328,870000;3;
SNDX;IMOEX2;10.07.2020;»ндекс ћосЅиржи (все сессии);IMOEX2 Ц значени€ индекса ћосЅиржи за весь торговый день, включа€ дополнительные сессии;2798,79;2799,79;2800,94;2791,6;3193308277,55;0;0;2;11916811299300;RUB;4257839328,870000;3;
SNDX;IMOEX2;13.07.2020;»ндекс ћосЅиржи (все сессии);IMOEX2 Ц значени€ индекса ћосЅиржи за весь торговый день, включа€ дополнительные сессии;2751,73;2767,42;2771,72;2748,67;4638747317,7;0;0;2;11716430303100;RUB;4257839328,870000;3;
SNDX;IMOEX2;14.07.2020;»ндекс ћосЅиржи (все сессии);IMOEX2 Ц значени€ индекса ћосЅиржи за весь торговый день, включа€ дополнительные сессии;2750,84;2744,63;2751,19;2740,93;3842843109,7;0;0;2;11712640025700;RUB;4257839328,870000;3;
SNDX;IMOEX2;15.07.2020;»ндекс ћосЅиржи (все сессии);IMOEX2 Ц значени€ индекса ћосЅиржи за весь торговый день, включа€ дополнительные сессии;2755,01;2745,46;2755,28;2743,15;2729005529,25;0;0;2;11730409741100;RUB;4257839328,870000;3;
SNDX;IMOEX2;16.07.2020;»ндекс ћосЅиржи (все сессии);IMOEX2 Ц значени€ индекса ћосЅиржи за весь торговый день, включа€ дополнительные сессии;2756,62;2760,38;2760,41;2755,27;2315803825,7;0;0;2;11737262409500;RUB;4257839328,870000;3;
SNDX;IMOEX2;17.07.2020;»ндекс ћосЅиржи (все сессии);IMOEX2 Ц значени€ индекса ћосЅиржи за весь торговый день, включа€ дополнительные сессии;2774,03;2773,66;2774,79;2770,79;1724567506,7;0;0;2;11811380696500;RUB;4257839328,870000;3;
SNDX;IMOEX2;20.07.2020;»ндекс ћосЅиржи (все сессии);IMOEX2 Ц значени€ индекса ћосЅиржи за весь торговый день, включа€ дополнительные сессии;2808,74;2802,23;2809,4;2800,68;4016744894,15;0;0;2;11959160064600;RUB;4257839328,870000;3;
SNDX;IMOEX2;21.07.2020;»ндекс ћосЅиржи (все сессии);IMOEX2 Ц значени€ индекса ћосЅиржи за весь торговый день, включа€ дополнительные сессии;2821,61;2823,09;2828,36;2817,45;3381849209,75;0;0;2;12013966425400;RUB;4257839328,870000;3;
SNDX;IMOEX2;22.07.2020;»ндекс ћосЅиржи (все сессии);IMOEX2 Ц значени€ индекса ћосЅиржи за весь торговый день, включа€ дополнительные сессии;2842,92;2836,42;2843,15;2834,65;2175216156,25;0;0;2;12104676504300;RUB;4257839328,870000;3;
SNDX;IMOEX2;23.07.2020;»ндекс ћосЅиржи (все сессии);IMOEX2 Ц значени€ индекса ћосЅиржи за весь торговый день, включа€ дополнительные сессии;2837,19;2851,41;2852,53;2828,75;4946916201,15;0;0;2;12080288091500;RUB;4257839328,870000;3;
SNDX;IMOEX2;24.07.2020;»ндекс ћосЅиржи (все сессии);IMOEX2 Ц значени€ индекса ћосЅиржи за весь торговый день, включа€ дополнительные сессии;2863,68;2861,26;2865,81;2850,03;3722123483,7;0;0;2;12193095854100;RUB;4257839328,870000;3;
SNDX;IMOEX2;27.07.2020;»ндекс ћосЅиржи (все сессии);IMOEX2 Ц значени€ индекса ћосЅиржи за весь торговый день, включа€ дополнительные сессии;2901,54;2887,19;2902,11;2884,88;4955651123,4;0;0;2;12354280546500;RUB;4257839328,870000;3;
SNDX;IMOEX2;28.07.2020;»ндекс ћосЅиржи (все сессии);IMOEX2 Ц значени€ индекса ћосЅиржи за весь торговый день, включа€ дополнительные сессии;2889,47;2894,83;2895,45;2888,07;2812297433,35;0;0;2;12302879501300;RUB;4257839328,870000;3;
SNDX;IMOEX2;29.07.2020;»ндекс ћосЅиржи (все сессии);IMOEX2 Ц значени€ индекса ћосЅиржи за весь торговый день, включа€ дополнительные сессии;2924,43;2917,89;2926,06;2913,78;4202085061,75;0;0;2;12451758135100;RUB;4257839328,870000;3;
SNDX;IMOEX2;30.07.2020;»ндекс ћосЅиржи (все сессии);IMOEX2 Ц значени€ индекса ћосЅиржи за весь торговый день, включа€ дополнительные сессии;2896,93;2884,74;2897,81;2882,63;3437763737,75;0;0;2;12334682260800;RUB;4257839328,870000;3;
SNDX;IMOEX2;31.07.2020;»ндекс ћосЅиржи (все сессии);IMOEX2 Ц значени€ индекса ћосЅиржи за весь торговый день, включа€ дополнительные сессии;2917,27;2910,59;2917,82;2905,62;3346820879,5;0;0;2;12421264919600;RUB;4257839328,870000;3;
SNDX;IMOEX2;03.08.2020;»ндекс ћосЅиржи (все сессии);IMOEX2 Ц значени€ индекса ћосЅиржи за весь торговый день, включа€ дополнительные сессии;2930,9;2931,34;2935,29;2924,99;3343470383,9;0;0;2;12479286347400;RUB;4257839328,870000;3;
